Tweet;"Tweet ID";Time;Favorited;Retweeted;"Is Favourited";"Is Retweeted";"Is Retweet";"Retweet from";Latitude;Longitude;Country;User
"RT @DLF_Umwelt: #GroßesMoor #Gifhorn Einsames Wollgras zeigt: Der Dürresommer 2018 hat manche Renaturierungsaktion konterkariert. Ein Teufe…";1127553596797726720.0000000000;"2019-05-12 14:38:21";0;1;0;0;1;DLF_Umwelt;NULL;NULL;NULL;BKleehaupt
"@Schweppenburg Toller Klimawandel! In der Lausitz ist es seit Wochen kalt wie schon lange nicht mehr! Mit dem Feinstaub, das stimmt allerdings: wenn es mal nicht regnet, ist mein Autos von Blütenstaub und Pollen zugedeckt...";1127553614879260672.0000000000;"2019-05-12 14:38:25";0;0;0;0;0;NULL;NULL;NULL;NULL;montagen2002
"RT @NZZ: «Erst wird ein Problem verleugnet, dann werden jene kritisiert, die es benennen, und dann sagt man, nun sei es ohnehin zu spät, et…";1127553906530299904.0000000000;"2019-05-12 14:39:34";0;98;0;0;1;NZZ;NULL;NULL;NULL;c_althaus
"Den Klimawandel kann man nur durch SCHNELLE Co² Einsparung aufhalten.Die Zeit drängt.
 https://t.co/2oRVSMalHV";1127554230569533440.0000000000;"2019-05-12 14:40:52";0;0;0;0;0;NULL;NULL;NULL;NULL;GerhardHaumann
"Den Klimawandel kann man nur durch SCHNELLE Co² Einsparung aufhalten.Die Zeit drängt.
Und die Bitcoin-Produktion verbraucht mehr Ressourcen als Dänemark. Das sagt Alexander Bonde, Chef der Deutschen Bundesstiftung Umwelt, im Interview mit der FR. Außerd... https://t.co/nEoDX71ja4";1127554403123302400.0000000000;"2019-05-12 14:41:33";1;1;0;0;0;NULL;NULL;NULL;NULL;GerhardHaumann
"RT @egghat: Lasst uns weiter an Greta abarbeiten, das Problem Klimawandel löst sich bestimmt von alleine … https://t.co/5yTFsDxwQZ";1127554580085182469.0000000000;"2019-05-12 14:42:15";0;9;0;0;1;egghat;NULL;NULL;NULL;spyonmetoo
"@55Uli Das muss der Klimawandel sein....

Ich bestehe darauf!";1127554674981261318.0000000000;"2019-05-12 14:42:38";1;0;0;0;0;NULL;NULL;NULL;NULL;georg2012land
"Was eine Vier-Grad-Welt bedeutet. "Klimawandel bedroht unsere Zivilisation".  https://t.co/I9CYLphEVU";1127554921933496320.0000000000;"2019-05-12 14:43:37";0;0;0;0;0;NULL;NULL;NULL;NULL;wtresearch1
"RT @kaffeecup: 2009: Die Politik fordert: "Wir müssen JETZT etwas gegen den Klimawandel unternehmen!"

2013: Die Politik fordert: "Wir müss…";1127555197138624513.0000000000;"2019-05-12 14:44:42";0;354;0;0;1;kaffeecup;NULL;NULL;NULL;AlpixTM
"„Wir werden Seen!“ - Gletscher, nimmt den Klimawandel gelassen.";1127555877496610816.0000000000;"2019-05-12 14:47:24";6;0;0;0;0;NULL;NULL;NULL;NULL;LusioCata
"@KrahMax Davon verstehen Sie doch null. AfD sind Dummschwätzer in Bezug auf Klimawandel.";1127556403479109633.0000000000;"2019-05-12 14:49:30";1;0;0;0;0;NULL;NULL;NULL;NULL;Micharo57
"So sieht eine Stadt im #Klimanotstand  aus 🥳🥳🥳 an einem 12 Mai im Jahre 2019 bei kühlen 12 Grad. Wenn wir da nicht dringend was gegen den bereits gut sicht- und spürbaren Klimawandel unternehmen hat #Bülach vermutlich keine Zukunft mehr 👻👻 #Klimahysterie 😂😂 https://t.co/0o53ahjHLy";1127556455748513792.0000000000;"2019-05-12 14:49:42";3;0;0;0;0;NULL;NULL;NULL;NULL;rene_anthon
"RT @GerhardHaumann: Den Klimawandel kann man nur durch SCHNELLE Co² Einsparung aufhalten.Die Zeit drängt.
Und die Bitcoin-Produktion verbra…";1127556594017996800.0000000000;"2019-05-12 14:50:15";0;1;0;0;1;GerhardHaumann;NULL;NULL;NULL;scheerenberger
"RT @MoSchaefer66: Was eine Vier-Grad-Welt bedeutet: "Klimawandel bedroht unsere Zivilisation" - https://t.co/Vf2tEFZ7vs https://t.co/5ZW4dD…";1127556804391702528.0000000000;"2019-05-12 14:51:05";0;7;0;0;1;MoSchaefer66;NULL;NULL;NULL;HalleVerkehrt
"RT @egghat: Lasst uns weiter an Greta abarbeiten, das Problem Klimawandel löst sich bestimmt von alleine … https://t.co/5yTFsDxwQZ";1127557404521062400.0000000000;"2019-05-12 14:53:28";0;9;0;0;1;egghat;NULL;NULL;NULL;SophiaOtto
"@Atomrechner @Bundestag @Klima_Manifest @EIKE_KLIMA ...diskutieren, alles gut. Du stellst es aber so hin, als sei es Wissenschaft und das ist halt einfach nicht wahr, wie ich dir ja jetzt lang und breit dargelegt habe. Dass EIKE und du auch der MEINUNG sind, es gäbe keinen Klimawandel ist vollkommen okay. Und ich bin da anderer...";1127557441456152577.0000000000;"2019-05-12 14:53:37";0;0;0;0;0;NULL;NULL;NULL;NULL;vitushsl
"RT @rahmstorf: “Wir gehen davon aus, dass wir bis 2025 in der Lage sein werden, das britische Stromnetz vollständig CO2-frei zu betreiben.”…";1127557957342912513.0000000000;"2019-05-12 14:55:40";0;156;0;0;1;rahmstorf;NULL;NULL;NULL;yonny_s
"RT @ichbinschoener: Brasilien kürzt Budget für Klimaschutz um 95 Prozent https://t.co/zgwND6bln2 via @zeitonline

Faschisten zerstören unse…";1127558449871695873.0000000000;"2019-05-12 14:57:38";0;55;0;0;1;ichbinschoener;NULL;NULL;NULL;Beaute_du_Noir
"RT @Balelt41: #fr.de:
Diagnose: Akuter Handlungsbedarf:
Ärztepräsident fordert mehr Klimaschutz-
Klimawandel ist real, Extremwetter führt
z…";1127558755917471745.0000000000;"2019-05-12 14:58:51";0;10;0;0;1;Balelt41;NULL;NULL;NULL;Balelt41
"Echt schade, hätten sie mir doch bloß gesagt, dass der Klimawandel dieses Jahr so zaghaft ausfällt, ich wäre letztes Jahr 100kkm mehr geflogen und hätte die Autos sogar zum Semmeln holen rausgeholt.";1127558826029453312.0000000000;"2019-05-12 14:59:07";0;0;0;0;0;NULL;NULL;NULL;NULL;SHintermoser
"@GiftmischerJoni @tankwartjassin @nicht_nicole Viel Glück Wasser zu bendigen wenn durch den Klimawandel immer weniger Regionen Wasser haben";1127558896401489920.0000000000;"2019-05-12 14:59:24";4;0;0;0;0;NULL;NULL;NULL;NULL;ToertchenTVyt
"Eine kleine CO2 Horror-Geschichte
#5filmlücken #CO2 #Klimawandel #Klimakrise #Umwelt #Natur
https://t.co/bqdruDYE4s";1127558961165676545.0000000000;"2019-05-12 14:59:40";0;0;0;0;0;NULL;NULL;NULL;NULL;XYZ0815art
"Der missver­standene Klima­wandel – EIKE – Europäisches Institut für Klima & Energie https://t.co/4Jb5lWeKJY";1127558980455358469.0000000000;"2019-05-12 14:59:44";3;1;0;0;0;NULL;NULL;NULL;NULL;DrKassandraPari
"Wahlplakate from Hell: Finde es sehr überzeugend, wenn eine Einzelkandidatin bei einer #Kommunalwahl den Klimawandel im Alleingang stoppen will. 🦸‍♀️🤦‍♂️ https://t.co/IL3E7nHmZM https://t.co/QI4cdjMsi0";1127559146310709252.0000000000;"2019-05-12 15:00:24";20;3;0;0;0;NULL;NULL;NULL;NULL;wahl_beobachter
"Wenn man das Problem aus der Warte des Stopps des Klimawandels betrachten möchte, ist wohl das der Schlüssel! https://t.co/3TzsOojKyS";1127559247720529920.0000000000;"2019-05-12 15:00:48";0;0;0;0;0;NULL;NULL;NULL;NULL;saschaproehl
"RT @kaffeecup: 2009: Die Politik fordert: "Wir müssen JETZT etwas gegen den Klimawandel unternehmen!"

2013: Die Politik fordert: "Wir müss…";1127559338795597826.0000000000;"2019-05-12 15:01:10";0;354;0;0;1;kaffeecup;NULL;NULL;NULL;dietzi96
